FIT_log_likelihood,absolute_error_Delta,absolute_error_G,absolute_error_Omega,absolute_error_R,baseline_guard_hit_count,baseline_guard_hits,converged,delta_LS_ar1,delta_LS_narrative,delta_LS_persistence,error,fitted_Delta,fitted_G,fitted_Omega,fitted_R,fitted_local_regime,holdout_LS_RCWE,holdout_MAE_RCWE,optimizer_agreement,optimizer_reported_successful_starts,regime_recovered,scenario,seed,stationary_starts,successful_starts,top_two_log_likelihood_gap,truth_Delta,truth_G,truth_Omega,truth_R,truth_regime
-31.217796430592326,0.00707484915383727,0.03274960409428074,0.035990971255893456,0.0024365166307260128,0,,False,6.205153105431654,6.6576555230942045,18.404306913519484,,0.49292515084616273,1.1672503959057194,11.964009028744107,0.09756348336927399,oscillatory,-14.81774631573513,0.10398625779635909,False,3,True,strong_oscillatory,260911,1,1,,0.5,1.2000000000000002,12.0,0.1,oscillatory
-35.11994480412981,0.013444418528613333,0.011584568785235616,0.05225299337470446,0.0005322567881826251,0,,True,9.26626617730597,9.293091684065898,23.752141185918816,,0.5134444185286133,1.1884154312147646,11.947747006625296,0.09946774321181738,oscillatory,-13.518206581155217,0.09482314010398149,True,3,True,strong_oscillatory,260912,3,3,4.263256414560601e-14,0.5,1.2000000000000002,12.0,0.1,oscillatory
-39.63273739131632,0.0008739699897036823,0.03666140411263075,0.11360604409702901,0.0021285513332967576,0,,False,15.440950454493828,15.58603077719197,23.868861878071634,,0.5008739699897037,1.1633385958873694,11.886393955902971,0.09787144866670325,oscillatory,-7.939063224408864,0.07508163859594894,False,3,True,strong_oscillatory,260913,3,3,28.65780548860554,0.5,1.2000000000000002,12.0,0.1,oscillatory
-34.7890617753385,0.015603730709114694,0.06659605794411405,0.20940797521536325,0.003872177099047025,0,,True,13.407593060199694,13.38194570329928,14.468094542997818,,0.5156037307091147,1.1334039420558861,11.790592024784637,0.09612782290095298,oscillatory,-11.36188502233658,0.09487681278957247,True,3,True,strong_oscillatory,260914,3,3,7.105427357601002e-15,0.5,1.2000000000000002,12.0,0.1,oscillatory
-31.82009771645739,0.0062712817366165075,0.04895388827785929,0.11147825763891461,0.003180047387999249,0,,True,10.899960104402382,15.435438338464998,20.28847080938421,,0.5062712817366165,1.1510461117221409,11.888521742361085,0.09681995261200076,oscillatory,-15.889250922506005,0.10550092482535749,True,3,True,strong_oscillatory,260915,3,3,9.237055564881302e-14,0.5,1.2000000000000002,12.0,0.1,oscillatory
-24.413816891218517,0.0044179394094809865,0.012500904955835557,0.0562687091100873,0.001503597531228404,0,,False,9.084383071634301,11.491353337611374,18.83637235360664,,0.495582060590519,1.1874990950441646,12.056268709110087,0.0984964024687716,oscillatory,-12.40849764705951,0.09792090205797063,False,2,True,strong_oscillatory,260916,0,0,,0.5,1.2000000000000002,12.0,0.1,oscillatory
-26.599909690312522,0.004396924884291997,0.012213759769933663,0.011882217035401155,0.0009178859621814389,0,,False,16.569475173176265,16.78856732902279,26.42270671262524,,0.504396924884292,1.2122137597699338,12.011882217035401,0.10091788596218144,oscillatory,-5.872260399007826,0.06806075998622732,False,2,True,strong_oscillatory,260917,1,1,,0.5,1.2000000000000002,12.0,0.1,oscillatory
-32.81298503710919,0.003574943304274436,0.008739045624323927,0.04512931134285836,0.00035085671401290097,0,,True,14.626401344080787,20.927866237898606,25.16747160827123,,0.5035749433042744,1.208739045624324,12.045129311342858,0.1003508567140129,oscillatory,-9.4752133897255,0.08109912633205871,True,2,True,strong_oscillatory,260918,2,2,1.2576606422953773e-12,0.5,1.2000000000000002,12.0,0.1,oscillatory
-30.81812181753638,0.0020664523656778178,0.024003217415023315,0.07246854643927314,0.0014048475022963441,0,,False,12.535897509280186,12.805556339278539,24.006261044035394,,0.5020664523656778,1.1759967825849769,11.927531453560727,0.09859515249770366,oscillatory,-9.013500857429332,0.08362770715371684,False,3,True,strong_oscillatory,260919,2,2,37.35049862250328,0.5,1.2000000000000002,12.0,0.1,oscillatory
-28.78331141556777,0.002531747363864245,0.02594570914906069,0.09505390533752767,0.001359259639847732,0,,True,12.147448976323663,12.407953570417426,21.992312742677925,,0.49746825263613575,1.2259457091490609,12.095053905337528,0.10135925963984774,oscillatory,-11.298403623136409,0.08708966380699443,True,3,True,strong_oscillatory,260920,2,2,9.947598300641403e-14,0.5,1.2000000000000002,12.0,0.1,oscillatory
